Model_name,v_pol_psnr,h_pol_psnr,v_pol_ssim,h_pol_ssim
Baseline,35.914288688491986,33.4173390681927
SRCNN2_unmasked,38.999323415232226,34.664442895532964,0.9758119659832512,0.9548946075853928
SRCNN2,39.26680420257233,34.7683295574817,0.9788901984385766,0.954126930595781
REDNet10_masked_loss,41.585616761511496,36.839782987322124,0.9835759337492539,0.9632418910779464
REDNet10,41.52652908157516,36.90002215039599,0.9837984478297302,0.9634540294704884
REDNet20_masked_loss,41.30296966007778,36.6666474709144,0.9832844574342646,0.9627642169249323
REDNet20,41.22231996976412,36.94271884121738,0.9839657825704682,0.9637684598140631
REDNet30_masked_loss,41.299577335734945,36.75058940216735,0.9836774953531903,0.9638270310892374
REDNet30,41.516707629947874,36.98956041021661,0.9842578563104754,0.9642706838907591
SRCNN6_unmasked,38.99582555791834,34.75921720462841,0.976861591714175,0.9534779057838133
